도서명,저자명,출판사명,출간일,분야,정가,쪽수,월
시간은 흐르지 않는다(양장본 HardCover),카를로 로벨리,쌤앤파커스,20190610,과학,16000,240,12
월급쟁이 재테크 상식사전(개정판),우용표,길벗,20190607,경제/경영,17500,584,12
칼 비테 교육법,칼 비테,차이정원,20170728,가정/육아,17000,384,12
유럽 도시 기행. 1,유시민,생각의길,20190709,인문,16500,324,12
설민석의 세계사 대모험. 3,설민석,단꿈아이,20190924,어린이(초등),12000,200,12
열혈강호. 79,전극진,대원씨아이,20191224,만화,4500,192,12
설민석의 무도 한국사 특강(개정판),설민석,휴먼큐브,20190129,역사/문화,22000,433,12
랜드마크 범인 찾기 추리북(양장본 HardCover),계림북스 편집부,계림,20191020,어린이(초등),16000,64,12
베조스 레터,스티브 앤더슨,리더스북,20191125,경제/경영,18500,312,12
세계 귀신 탐험(양장본 HardCover),편집부,계림북스,20190830,어린이(초등),17500,44,12
식물의 책,이소영,책읽는수요일,20191025,과학,15000,288,12
세계사 최대한 쉽게 설명해 드립니다(완역판)(누구나 교양 1),만프레트 마이,이화북스,20181224,역사/문화,13800,350,12
초등학생이 알아야 할 과학 100가지(양장본 HardCover),알렉스 프리스,어스본코리아,20170629,어린이(초등),13000,128,12
의학의 역사(만화로 배우는)(한빛비즈 교양툰),장 노엘 파비아니,한빛비즈,20191025,역사/문화,19800,244,12
빛의 과거,은희경,문학과지성사,20190830,소설,14000,342,12
혼자 공부하는 파이썬,윤인성,한빛미디어,20190610,컴퓨터/IT,18000,460,12
모든 순간이 너였다,하태완,위즈덤하우스,20180216,시/에세이,13800,272,12
굿 라이프(양장본 HardCover),최인철,21세기북스,20180620,자기계발,17000,284,12
대도시의 사랑법,박상영,창비,20190628,소설,14000,344,12
검사내전,김웅,부키,20180119,정치/사회,15000,384,12
백종원이 추천하는 집밥 메뉴 56(백종원이 추천하는 집밥 메뉴 4),백종원,서울문화사,20190620,요리,10900,144,12
전생했더니 슬라임이었던 건에 대하여. 15(S노벨 플러스(S Novel +)),후세,소미미디어,20191128,소설,12000,604,12
어린이 고사성어(읽으면서 바로 써먹는)(맛있는 공부 18),한날,파란정원,20181214,어린이(초등),12000,224,12
물 만난 물고기(양장본 HardCover),이찬혁,수카,20190926,소설,15000,200,12
수미네 반찬. 1(한정판 리커버 에디션),김수미,성안당,20191111,요리,17000,272,12
부동산 소액 투자의 정석,김원철,알에이치코리아,20191106,경제/경영,18000,360,12
좋은지 나쁜지 누가 아는가,류시화,더숲,20190311,시/에세이,15000,256,12
죽고 싶지만 떡볶이는 먹고 싶어,백세희,흔,20180620,시/에세이,13800,208,12
직지. 1(양장본 HardCover),김진명,쌤앤파커스,20190801,소설,14000,280,12
귀멸의 칼날. 12,고토게 코요하루,학산문화사,20191107,만화,5000,192,12
마음의 결,태희,피어오름,20190508,시/에세이,13800,264,12
해커스 토익 스타트 리딩(Reading) RC(개정판 4판),David Cho,해커스어학연구소,20200220,외국어,14900,580,12
2020 부동산 시그널,서울휘,다산북스,20191122,경제/경영,19000,388,12
아홉 살 마음 사전,박성우,창비,20170310,어린이(초등),11000,168,12
베스트 셀프,마이크 베이어,안드로메디안,20190918,자기계발,18700,396,12
레벨업 카카오프렌즈. 2: 수수께끼,전판교,대원키즈,20190930,어린이(초등),12000,168,12
타인의 시선을 의식해 힘든 나에게,글배우,21세기북스,20190419,시/에세이,13000,184,12
"걷는 사람, 하정우",하정우,문학동네,20181123,시/에세이,15500,296,12
일본인 이야기. 1: 전쟁과 바다,김시덕,메디치미디어,20191122,역사/문화,20000,436,12
흔한남매. 3(양장본 HardCover),흔한남매 (원작),아이세움,20200109,어린이(초등),12000,168,1
"1일 1페이지, 세상에서 가장 짧은 교양 수업 365",데이비드 S. 키더,위즈덤하우스,20191030,인문,16000,392,1
트렌드 코리아 2020,김난도,미래의창,20191024,경제/경영,18000,448,1
지적 대화를 위한 넓고 얕은 지식: 제로 편,채사장,웨일북(whalebooks),20191224,인문,19800,556,1
지쳤거나 좋아하는 게 없거나,글배우,강한별,20190904,시/에세이,13500,248,1
에이트(양장본 HardCover),이지성,차이정원,20191021,자기계발,17000,308,1
데미안(리커버 한정판)(초판본)(1919년 오리지널 초판본 패브릭 에디션)(양장본 HardCover),헤르만 헤세,더스토리,20171030,소설,12000,248,1
팩트풀니스(양장본 HardCover),한스 로슬링,김영사,20190310,인문,19800,474,1
해커스 토익 기출 보카 TOEIC VOCA(개정판 5판),David Cho,해커스어학연구소,20200305,외국어,12900,566,1
코스모스(보급판),칼 세이건,사이언스북스,20100120,과학,18500,719,1
스스로 행복하라,법정,샘터(샘터사),20200106,시/에세이,12000,216,1
117층 나무 집(456 book 클럽)(양장본 HardCover),앤디 그리피스,시공주니어,20200110,어린이(초등),12000,384,1
여행의 이유,김영하,문학동네,20190417,시/에세이,13500,216,1
총 균 쇠,재레드 다이아몬드,문학사상,20051219,역사/문화,28000,751,1
부자 되는 법을 가르쳐 드립니다,라밋 세티,안드로메디안,20191225,경제/경영,19800,448,1
나는 나로 살기로 했다,김수현,마음의숲,20200316,시/에세이,13800,288,1
해빗(스페셜 에디션),웬디 우드,다산북스,20201210,자기계발,17000,408,1
작가들의 비밀스러운 삶,기욤 뮈소,밝은세상,20191121,소설,14800,340,1
해커스 토익 RC 리딩(Reading)(개정판 8판),David Cho,해커스어학연구소,20200302,외국어,18800,800,1
나는 무조건 합격하는 공부만 한다,이윤규,비즈니스북스,20191216,자기계발,15000,304,1
지금 이대로 좋다,법륜,정토출판,20191030,시/에세이,14800,272,1
배움의 발견(교보문고 단독 리커버)(리커버:K),타라 웨스트오버,열린책들,20200105,시/에세이,18000,520,1
우리가 빛의 속도로 갈 수 없다면(양장본 HardCover),김초엽,허블,20190624,소설,14000,330,1
사피엔스,유발 하라리,김영사,20151124,인문,22000,636,1
아주 작은 습관의 힘,제임스 클리어,비즈니스북스,20190226,자기계발,16000,360,1
틀 밖에서 놀게 하라,김경희,쌤앤파커스,20200811,가정/육아,17800,368,1
하버드 상위 1퍼센트의 비밀,정주영,한국경제신문,20181017,자기계발,16000,324,1
90년생이 온다,임홍택,웨일북(whalebooks),20181116,경제/경영,14000,336,1
설민석의 한국사 대모험. 12,설민석,아이휴먼,20191205,어린이(초등),12000,212,1
겨울왕국2. 2(디즈니)(디즈니 무비 동화)(양장본 HardCover),수잔 프랜시스,애플비,20191210,유아(0~7세),8500,64,1
당신이 옳다(40만 부 기념 '한 사람' 리커버),정혜신,해냄출판사,20181010,인문,15800,316,1
부의 인문학,브라운스톤,오픈마인드,20191004,경제/경영,15000,294,1
일의 기쁨과 슬픔,장류진,창비,20191025,소설,14000,236,1
너에게만 좋은 사람이 되고 싶어(리커버 한정판),유귀선,스튜디오오드리,20191016,시/에세이,13500,244,1
해커스 토익 LC 리스닝(Listening)(개정판 8판),David Cho,해커스어학연구소,20200318,외국어,18800,626,1
루팡의 딸,요코제키 다이,북플라자,20190925,소설,15000,310,1
리더의 용기,브레네 브라운,갤리온,20191209,경제/경영,18000,428,1
이러지도 저러지도 못하는 당신에게,강주원,비로소,20191028,시/에세이,13000,225,1
꽃을 보듯 너를 본다(J.H CLASSIC 2)(양장본 HardCover),나태주,지혜,20201130,시/에세이,10000,184,1
